ID,sex,vowel,f1,f2,f3,f1/f3,f2/f3,cut
female1,f,1,297.3649436,2116.68414,2944.3994850000013,0.10099341,0.718884836,0.0
female1,f,2,429.3197256,2610.161083,3187.299783,0.13469700199999998,0.818925505,0.0
female1,f,3,472.22869479999997,2554.104111,3165.879398,0.149161934,0.806759762,0.0
female1,f,4,609.3929423999998,2210.863154,3167.713711,0.19237626800000002,0.697936542,0.0
female1,f,5,258.49514730000004,2088.486,2308.901295,0.11195591099999999,0.904536718,0.0
female1,f,6,412.0,1868.275321,2217.0884149999997,0.185829305,0.8426706429999999,0.0
female1,f,7,487.90467800000016,1912.9964969999999,2313.539173,0.210891038,0.8268701559999999,0.0
female1,f,8,247.53,496.546,1205.0410000000004,0.20541209800000002,0.41205734899999996,0.0
female1,f,9,251.392,488.61199999999997,845.9689999999997,0.297164553,0.57757672,0.0
female1,f,10,438.9352597,1151.232005,2326.105582,0.18869962899999998,0.4949182070000001,0.0
female1,f,11,483.38178150000016,1773.8792899999999,2476.776129,0.195165714,0.7162049359999999,0.0
female2,f,1,353.57454260000014,2372.091063,2630.8151629999998,0.134397333,0.9016562990000001,0.0
female2,f,2,432.0,2417.591122,2767.666079,0.17015670100000002,0.873512574,0.0
female2,f,3,493.31581100000005,2280.253292000001,2795.114045,0.176492194,0.815799733,0.0
female2,f,4,557.3076047999998,2262.462141,2576.301084,0.21632083600000002,0.87818235,0.0
female2,f,5,418.8680947,2027.092541,2402.254809,0.174364557,0.8438291109999999,1.0
female2,f,6,447.30091889999994,1792.7109100000002,2309.945139,0.19364136,0.77608376,0.0
female2,f,7,492.4293624,1747.2849039999999,2509.4632300000007,0.196228961,0.696278345,0.0
female2,f,8,280.263,558.885,842.579,0.33262519,0.663302788,0.0
female2,f,9,273.048,541.03,811.88,0.33631571200000004,0.666391585,0.0
female2,f,10,509.3764662,1169.905242,2913.4925,0.174833629,0.40154736700000004,0.0
female2,f,11,491.06158789999995,1652.43821,2661.034749,0.18453783399999998,0.62097581,0.0
male1,m,1,237.0112028,2068.356585,3114.7796670000002,0.076092446,0.664045874,0.0
male1,m,2,249.9165216,2181.9255780000008,2831.567964,0.088260824,0.770571502,0.0
male1,m,3,397.08128089999997,2080.845482,2537.416451,0.156490386,0.82006463,0.0
male1,m,4,422.39756460000007,2042.892757,2556.762499,0.165207979,0.799015457,0.0
male1,m,5,240.29076099999997,1786.464931,2418.5513140000007,0.099353179,0.7386508279999999,0.0
male1,m,6,322.2406106,1697.465228,2676.198793,0.120409818,0.634282189,0.0
male1,m,7,434.2631103,1520.998604,2985.764035,0.145444551,0.509416882,0.0
male1,m,8,278.132,386.167,877.1260000000003,0.317094693,0.44026399899999996,0.0
male1,m,9,222.74599999999998,414.254,703.7080000000003,0.31653185699999997,0.588673143,0.0
male1,m,10,390.63843010000005,1135.2588369999999,2123.335049,0.18397399399999997,0.534658361,0.0
male1,m,11,454.59868550000004,1590.424906,2266.195673,0.20059992699999998,0.7018038759999999,0.0
male2,m,1,267.0589423,1945.691246,2937.659077,0.090908759,0.66232711,0.0
male2,m,2,328.9799579,2026.120422,2673.859501000001,0.123035619,0.757751266,0.0
male2,m,3,404.17081160000004,1852.8788140000001,2569.422085,0.15730027900000002,0.721126679,0.0
male2,m,4,526.9055401,1762.0,2523.935226,0.208763495,0.698116173,0.0
male2,m,5,307.4756973000001,1659.775007,2010.774161,0.152914088,0.825440788,0.0
male2,m,6,371.1279492,1573.359075,2010.5678,0.184588627,0.78254465,0.0
male2,m,7,412.6377557,1553.699315,2241.969461,0.18405146100000008,0.6930064579999999,0.0
male2,m,8,230.062,454.61300000000006,798.495,0.288119525,0.569337316,0.0
male2,m,9,314.248,389.586,504.869,0.622434731,0.771657598,0.0
male2,m,10,411.16542339999995,940.1547016000001,2142.082763,0.19194656300000001,0.43889746799999996,0.0
male2,m,11,495.5,1429.0,2247.0,0.22051624399999997,0.635959057,0.0
male3,m,1,309.0,2095.500821,3372.434853,0.091625195,0.621361394,0.0
male3,m,2,343.7029943,2318.936603,3507.763411,0.09798351699999999,0.661086947,0.0
male3,m,3,439.85350880000004,2151.100741,2857.806135000001,0.153912998,0.75271052,0.0
male3,m,4,488.2521447,2121.860185,2759.544393,0.176932158,0.768916851,0.0
male3,m,5,311.9733842,2079.284759,2239.836825,0.139283979,0.928319749,0.0
male3,m,6,362.186499,1489.0,2218.736879,0.163239951,0.67110256,0.0
male3,m,7,452.07573049999996,1479.197488,2497.448191,0.18101505899999998,0.592283553,0.0
male3,m,8,301.7096378,490.07154069999996,753.0386613,0.40065623899999997,0.650792006,0.0
male3,m,9,309.22950699999996,572.0403949,622.2636150000002,0.496942935,0.91928948,0.0
male3,m,10,475.33988830000004,955.9068935,2539.634869,0.187168594,0.376395404,0.0
male3,m,11,492.74486219999994,1464.630279,2467.987783,0.199654498,0.593451187,0.0
CLO,m,1,248.7517025,2136.2835489999998,3017.010856,0.08244972099999999,0.7080795040000001,0.0
CLO,m,1,191.98766569999998,2143.81855,3040.314415,0.063147306,0.705130542,0.0
CLO,m,3,344.6447164,2133.490997,2683.689961,0.128421957,0.794984155,0.0
CLO,m,4,444.80371660000003,2154.199302,2667.697211,0.16673695800000002,0.807512672,0.0
CLO,m,9,250.54,416.535,637.341,0.393101966,0.653551239,0.0
CLO,m,2,318.89499739999997,2223.9550449999997,2672.808973,0.119310808,0.8320665890000001,0.0
CLO,m,3,336.8259786000001,2163.767441,2678.096134,0.125770683,0.807949877,0.0
